course_id,subject,course_num,course_name,credits
ACC 203,ACC,203,Financial Accounting,3
ACC 204,ACC,204,Managerial Accounting,3
ACC 302,ACC,302,Cost Accounting,3
ACC 311,ACC,311,Intermediate Accounting I,3
ACC 312,ACC,312,Intermediate Accounting II,3
ACC 401,ACC,401,Advanced Accounting,3
ACC 412,ACC,412,External Auditing,3
ACC 420,ACC,420,Information Technology Audit,3
ACC 431,ACC,431,Financial Statements Analysis,3
ACC 821,ACC,821,Financial Accounting,3
ARA 101,ARA,101,Arabic Essay Read. & Writ. I,3
ARA 305,ARA,305,Arabic Philology &Lexicography,3
ARA 313,ARA,313,Creative Writing,3
ARA 323,ARA,323,Abbasid Poetry,3
ARA 325,ARA,325,Classical Prose,3
ARA 328,ARA,328,Arabic Folk Literature,3
ARA 341,ARA,341,Modern Arab. Nov.&Short Story,3
ARA 342,ARA,342,Arabic Drama,3
ARA 343,ARA,343,Modern Arabic Poetry,3
ARA 344,ARA,344,Trends in Modern Literature,3
ARCH 311,ARCH,311,Structural Concept,3
ARCH 331,ARCH,331,Design Studio III,6
ARCH 351,ARCH,351,Digital Drawing,3
ARCH 361,ARCH,361,Theory I,2
ARCH 371,ARCH,371,History of Architecture I,3
ARCH 421,ARCH,421,Materials & Method of Constr.,3
ARCH 422,ARCH,422,Climate & Energy,3
ARCH 431,ARCH,431,Design Studio V,6
ARCH 441,ARCH,441,Regional Architecture,3
ARCH 461,ARCH,461,Contemporary Trends,2
ARCH 463,ARCH,463,Landscape Architecture,2
ARCH 531,ARCH,531,Design Studio VII,6
ARCH 541,ARCH,541,Urban Planning I,3
ARCH 581,ARCH,581,Professional Practice I,3
ARCH 631,ARCH,631,Final Project Research,3
ARCH 580L,ARCH,580L,Tp:Dynamic 3D Modeling,3
ARCH 580O,ARCH,580O,Topics: Public Art in Cities,3
ARCH 580T,ARCH,580T,Topics: Sustainable Architecture Lab,3
ARCH 580U,ARCH,580U,Topics: Urban Wooden Furniture Design & Construction,3
ART 102,ART,102,Art Appreciation,3
ART 211,ART,211,Ceramics,3
ART 212,ART,212,Ceramics Wheel Throwing,3
ART 301,ART,301,Speculative Drawing,3
