crn,section,campus,course_id,days,start_time,end_time,instructor,location
12143,11,1,ACC 203,MWF,5:00 PM,5:50 PM,TBA,104 601
12144,12,1,ACC 203,MWF,12:00 PM,12:50 PM,TBA,110 1108
12145,14,1,ACC 203,TR,3:30 PM,4:45 PM,TBA,110 1109
12146,15,1,ACC 203,MWF,8:00 AM,8:50 AM,TBA,110 1110
12147,16,1,ACC 203,TR,5:00 PM,6:15 PM,TBA,110 1107
12148,17,1,ACC 203,TR,11:00 AM,12:15 PM,TBA,110 1109
12149,18,1,ACC 203,MWF,10:00 AM,10:50 AM,TBA,110 1107
12150,19,1,ACC 203,TR,12:30 PM,1:45 PM,TBA,110 1108
12151,20,1,ACC 203,TR,8:00 AM,9:15 AM,Muhammad Muhammad Munir  Umar ,110 1004
12152,31,2,ACC 203,TR,12:30 PM,1:45 PM,TBA,206 0406
12153,32,2,ACC 203,TR,9:30 AM,10:45 AM,TBA,206 0406
12154,33,2,ACC 203,MWF,10:00 AM,10:50 AM,Melhim Ibrahim  Khoury Nicolas ,206 0205
12155,34,2,ACC 203,TR,11:00 AM,12:15 PM,TBA,206 0403
12156,11,1,ACC 204,MWF,3:00 PM,3:50 PM,TBA,110 1107
12157,13,1,ACC 204,TR,5:00 PM,6:15 PM,Muhammad Muhammad Munir  Umar ,110 1110
12158,14,1,ACC 204,TR,3:30 PM,4:45 PM,Rabih Jihad  Abi Ammar ,110 1005
12159,15,1,ACC 204,MWF,11:00 AM,11:50 AM,TBA,110 1003
12160,31,2,ACC 204,MWF,12:00 PM,12:50 PM,Melhim Ibrahim  Khoury Nicolas ,206 103A
12161,32,2,ACC 204,TR,2:00 PM,3:15 PM,TBA,206 103G
12162,33,2,ACC 204,TR,12:30 PM,1:45 PM,Tony Albert  Assad ,206 0506
12163,11,1,ACC 302,TR,11:00 AM,12:15 PM,Walid Mohamed Rashid  Elgammal ,110 1110
12164,31,2,ACC 302,TR,9:30 AM,10:45 AM,Sami Fares  Sadaka ,206 0405
12165,11,1,ACC 311,TR,12:30 PM,1:45 PM,Walid Mohamed Rashid  Elgammal ,110 1109
12166,31,2,ACC 311,TR,8:00 AM,9:15 AM,Sami Fares  Sadaka ,206 0406
12167,11,1,ACC 312,TR,5:00 PM,6:15 PM,Rabih Jihad  Abi Ammar ,110 1003
12168,11,1,ACC 401,TR,8:00 AM,9:15 AM,TBA,110 1109
12169,31,2,ACC 401,F,4:00 PM,6:15 PM,TBA,206 0504
12170,11,1,ACC 412,TR,9:30 AM,10:45 AM,TBA,110 1309
12171,31,2,ACC 412,TR,9:30 AM,10:45 AM,Ghada Restom  Majzoub ,206 0402
12172,31,2,ACC 420,MWF,1:00 PM,1:50 PM,Melhim Ibrahim  Khoury Nicolas ,206 0504
12173,11,1,ACC 431,TR,2:00 PM,3:15 PM,TBA,110 1110
12174,11,1,ACC 821,W,5:00 PM,7:29 PM,Walid Mohamed Rashid  Elgammal ,110 1007
12175,31,2,ACC 821,W,5:00 PM,7:30 PM,Sami Fares  Sadaka ,206 0504
12176,11,1,ARA 101,TR,3:30 PM,4:45 PM,Mariana Pierre  Bassil ,103 408
12177,31,2,ARA 101,TR,8:00 AM,9:15 AM,Carla Samir  Achkar ,204 0506
14331,11,1,ARA 305,W,4:00 PM,6:29 PM,Lara Nabhan  Mallak ,103 304
12178,11,1,ARA 313,TR,11:00 AM,12:15 PM,Samar   Moujaes ,110 1308
12179,31,2,ARA 313,MWF,2:00 PM,2:50 PM,Dania Saadallah  Raphael ,204 0507
12180,11,1,ARA 323,MWF,10:00 AM,10:50 AM,Vahid Furud  Behmardi ,103 403
12181,31,2,ARA 323,TR,9:30 AM,10:45 AM,Nidal Al Amyouni  Daccache ,206 0302
12182,11,1,ARA 325,MWF,11:00 AM,11:50 AM,Vahid Furud  Behmardi ,102 0201
12183,11,1,ARA 328,MWF,2:00 PM,2:50 PM,Vahid Furud  Behmardi ,103 403
12184,31,2,ARA 341,TR,11:00 AM,12:15 PM,Nidal Al Amyouni  Daccache ,206 0302
12185,32,2,ARA 341,TR,3:30 PM,4:45 PM,Rizkallah Elias  Constantin ,206 0302
12186,11,1,ARA 342,TR,12:30 PM,1:45 PM,Nada Afif  Saab ,103 403
12187,11,1,ARA 343,TR,2:00 PM,3:15 PM,Carla Michel  Daher ,101 203
12188,31,2,ARA 343,MWF,12:00 PM,12:50 PM,Carla Samir  Achkar ,204 0503
12189,11,1,ARA 344,TR,9:30 AM,10:45 AM,Nada Afif  Saab ,101 204
12190,12,1,ARA 344,TR,11:00 AM,12:15 PM,Nada Afif  Saab ,103 417
12191,13,1,ARA 344,TR,9:30 AM,10:45 AM,Samar   Moujaes ,103 403
12192,31,2,ARA 344,TR,12:30 PM,1:45 PM,Nidal Al Amyouni  Daccache ,206 0302
12193,11,1,ARCH 311,MW,8:30 AM,9:59 AM,Najwa Farhan  Hany ,113 1002
12194,12,1,ARCH 311,MW,8:30 AM,9:59 AM,Roger Ibrahim  Skaff ,113 1005
12195,31,2,ARCH 311,TR,10:00 AM,11:29 AM,Roger Ibrahim  Skaff ,203 0303
12196,11,1,ARCH 331,MW,2:00 PM,6:29 PM,Leyla Adnan  El Sayed Hussein ,113 1005
12197,12,1,ARCH 331,MW,2:00 PM,6:30 PM,Vanessa Khalil  Dammous ,113 1004
12198,13,1,ARCH 331,MW,2:00 PM,6:29 PM,TBA,113 1006
12199,14,1,ARCH 331,MW,2:00 PM,6:29 PM,TBA,113 1007
12200,31,2,ARCH 331,TR,2:00 PM,6:29 PM,Salim Fouad  Boulos ,203 0303
12201,32,2,ARCH 331,TR,2:00 PM,6:29 PM,Jemma Elizabeth Fahd  El Chidiac ,203 0302
12202,11,1,ARCH 351,TR,8:00 AM,9:59 AM,Joyce Hanna  Himo ,113 507
12203,12,1,ARCH 351,TR,10:00 AM,11:59 AM,Joyce Hanna  Himo ,113 507
12204,13,1,ARCH 351,MW,8:00 AM,9:59 AM,Ayman   Wehbeh ,113 507
12205,14,1,ARCH 351,MW,10:00 AM,11:59 AM,Ayman   Wehbeh ,113 507
12206,31,2,ARCH 351,TR,8:00 AM,9:59 AM,Farid Jamal  Jureidini ,204 0601
12207,11,1,ARCH 361,R,2:00 PM,3:59 PM,Karma Munah  Dabaghi ,113 1001
12208,12,1,ARCH 361,R,9:00 AM,10:59 AM,Tony Emile  Nasrallah ,113 1002
12209,31,2,ARCH 361,M,12:00 PM,1:59 PM,Elie Michel  Harfouche ,203 0202
12210,11,1,ARCH 371,TR,11:00 AM,12:29 PM,Ziad Radwan  Mawlawi ,113 1001
12211,12,1,ARCH 371,TR,12:30 PM,1:59 PM,Tony Emile  Nasrallah ,113 1002
12212,31,2,ARCH 371,MW,10:30 AM,11:59 AM,Ziad Radwan  Mawlawi ,203 0202
12213,11,1,ARCH 421,MW,9:00 AM,10:59 AM,Hicham Joseph  Bou Akl ,113 1204
12214,12,1,ARCH 421,MW,11:00 AM,12:59 PM,TBA,113 1204
12215,31,2,ARCH 421,MW,11:00 AM,12:59 PM,Joseph Majid  Kiprianos ,203 0402
12216,11,1,ARCH 422,MW,9:00 AM,10:59 AM,Michel Raouf  Francis ,113 1205
12217,12,1,ARCH 422,MW,11:00 AM,12:59 PM,Michel Raouf  Francis ,113 1205
12218,31,2,ARCH 422,TR,9:00 AM,10:59 AM,Michel Raouf  Francis ,203 0403
12219,11,1,ARCH 431,TR,2:00 PM,6:30 PM,Joy Chaker  Kanaan ,113 1204
12220,12,1,ARCH 431,TR,2:00 PM,6:30 PM,Cristiano Luciano  Lippa ,113 1205
12221,13,1,ARCH 431,TR,2:00 PM,6:30 PM,Tarek Souheil  Sinno ,113 1206
12222,31,2,ARCH 431,MW,2:00 PM,6:29 PM,Elie Michel  Harfouche ,203 0402
12223,32,2,ARCH 431,MW,2:00 PM,6:29 PM,Moustapha Abdul Aziz  Saleh Moussa ,203 0403
12224,11,1,ARCH 441,TR,11:00 AM,12:59 PM,Antoine Lahoud  Lahoud ,113 1005
12225,31,2,ARCH 461,W,11:00 AM,12:59 PM,Elie George  Haddad ,204 0501
12226,11,1,ARCH 463,T,9:00 AM,10:59 AM,Stephanie Abdallah  Dadour ,113 1204
12227,31,2,ARCH 463,W,9:00 AM,10:59 AM,Stephanie Abdallah  Dadour ,203 0403
12230,11,1,ARCH 531,TR,2:00 PM,6:29 PM,David Robert  Awad ,113 1004
12231,12,1,ARCH 531,TR,2:00 PM,6:29 PM,Hicham Joseph  Bou Akl ,113 1005
12232,31,2,ARCH 531,MW,2:00 PM,6:29 PM,Joseph Majid  Kiprianos ,204 0602
12233,32,2,ARCH 531,MW,2:00 PM,6:29 PM,Issam Youssef  Barhouch ,204 0603
12234,11,1,ARCH 541,MW,10:30 AM,11:59 AM,Roula Mouin  El Khoury ,113 1004
12235,31,2,ARCH 541,TR,9:30 AM,10:59 AM,TBA,204 0602
12239,11,1,ARCH 581,MW,9:00 AM,10:29 AM,Sawsan Mohamaf  Saridar ,113 1001
12240,31,2,ARCH 581,TR,11:30 AM,12:59 PM,Roger Ibrahim  Skaff ,204 0603
